,Average_AttendanceTimeSeconds
Postcode_district_NW2,0.015714772813140036
FirstPumpArriving_DeployedFromStation_Heston,0.015641744980614478
PropertyType_Private Garden Shed ,0.015457702568179982
PropertyType_Purpose Built Flats/Maisonettes - 4 to 9 storeys ,0.015425350093176051
IncidentStationGround_infrequent_sklearn,0.015394946610317187
IncGeo_WardCode_E05013679,0.014697021788453474
USRN,0.014503542114624431
IncGeo_BoroughCode_E09000029,0.01418180087281933
ProperCase_Sutton,0.01418180087281933
SpecialServiceType_Rescue or evacuation from water,0.014180443884923446
Postcode_full_infrequent_sklearn,0.013501692936259984
PropertyType_Park ,0.013217208504197222
IncidentStationGround_Ilford,0.012891792225660564
PropertyType_Van ,0.012710116698642233
AddressQualifier_In street close to gazetteer location,0.012440586414324281
IncGeo_WardNameNew_Edmonton Green,0.012278519498326475
PropertyType_Loose refuse ,0.011819703267647221
PropertyType_Warehouse ,0.011662520323458934
FirstPumpArriving_DeployedFromStation_Ilford,0.011642306300254184
ProperCase_Merton,0.0114453995697572
IncGeo_BoroughCode_E09000024,0.0114453995697572
IncGeo_WardNameNew_Church Street,0.011385701696910782
SpecialServiceType_Stand By,0.01135951000876469
IncGeo_WardCode_E05013510,0.011301693311618795
Postcode_full_E3,0.01118542121362162
SecondPumpArriving_DeployedFromStation_Poplar,0.01088821362484486
IncidentStationGround_Heston,0.010775259923395768
PropertyType_Other outdoor location ,0.010135442561299604
IncGeo_WardCode_E05013801,0.009991765774809909
IncidentStationGround_Barking,0.009856857150925442
Postcode_district_SW19,0.009841586277174996
StopCodeDescription_False alarm - Malicious,0.00956358490277843
SecondPumpArriving_DeployedFromStation_West Norwood,0.009294073850736407
IncGeo_WardNameNew_Highgate,0.009261248648185526
IncidentStationGround_Sutton,0.009140459673180723
Postcode_full_NW2,0.008844367233935207
SecondPumpArriving_DeployedFromStation_Fulham,0.008843024190593497
IncGeo_WardNameNew_Marylebone,0.008829442686956313
IncGeo_WardNameNew_Stonebridge,0.008704197766171463
SecondPumpArriving_DeployedFromStation_Plaistow,0.008618872149295102
FirstPumpArriving_DeployedFromStation_Wandsworth,0.007874622210420377
SecondPumpArriving_DeployedFromStation_Walthamstow,0.007846319345764765
Postcode_full_SE18,0.007302582134576512
Postcode_district_E3,0.007218573627250494
IncGeo_WardCode_E05013805,0.00698368568148917
Postcode_full_SE16,0.006878439058781837
IncGeo_WardNameNew_Primrose Hill,0.006566457284338424
IncGeo_WardCode_E05009319,0.006338187284928346
Postcode_full_IG11,0.006306429235711164
StopCodeDescription_Secondary Fire,0.006237542267467104
IncGeo_WardNameNew_WEST END,0.006068668550101971
Postcode_full_N4,0.005817658495960731
SpecialServiceType_Spills and Leaks (not RTC),0.0057821285395860175
Postcode_district_IG1,0.005755444676976469
Latitude,0.005703519340660865
